% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, tw, tf, k, ks, k1
C381X1270.0	381.0	94.5	18.2	16.5	36.779	0.167	10.335
C381X1016.0	381.0	89.4	13.2	16.5	36.779	0.167	10.846
C381X861.1	381.0	86.4	10.2	16.5	36.779	0.167	11.147
C305X762.0	304.8	80.5	13.0	12.7	28.702	0.167	7.177
C305X635.0	304.8	77.5	9.8	12.7	28.702	0.167	7.477
C305X525.8	304.8	74.7	7.2	12.7	28.702	0.167	7.758
C254X762.0	254.0	77.0	17.1	11.1	27.051	0.167	5.607
C254X635.0	254.0	73.4	13.4	11.1	27.051	0.167	5.968
C254X508.0	254.0	69.6	9.6	11.1	27.051	0.167	6.349
C254X388.6	254.0	66.0	6.1	11.1	27.051	0.167	6.709
C229X508.0	228.6	67.3	11.4	10.5	25.4	0.167	5.859
C229X381.0	228.6	63.2	7.2	10.5	25.4	0.167	6.270
C229X340.4	228.6	61.7	5.9	10.5	25.4	0.167	6.420
C203X476.2	203.2	64.3	12.4	9.9	23.825	0.167	5.439
C203X349.2	203.2	59.4	7.7	9.9	23.825	0.167	5.930
C203X292.1	203.2	57.4	5.6	9.9	23.825	0.167	6.131
C178X374.6	177.8	58.4	10.6	9.3	22.225	0.167	5.310
C178X311.2	177.8	55.6	8.0	9.3	22.225	0.167	5.591
C178X248.9	177.8	53.1	5.3	9.3	22.225	0.167	5.842
C152X330.2	152.4	54.9	11.1	8.7	20.65	0.167	4.941
C152X266.7	152.4	51.6	8.0	8.7	20.65	0.167	5.272
C152X208.3	152.4	48.8	5.1	8.7	20.65	0.167	5.552
C127X228.6	127.0	48.0	8.3	8.1	19.05	0.167	4.912
C127X170.2	127.0	44.4	4.8	8.1	19.05	0.167	5.273
C102X184.1	101.6	43.7	8.2	7.5	19.05	0.167	4.623
C102X158.8	101.6	41.9	6.3	7.5	19.05	0.167	4.804
C102X137.2	101.6	40.1	4.7	7.5	19.05	0.167	4.984
C102X114.3	101.6	38.6	3.2	7.5	19.05	0.167	5.134
C76X152.4	76.2	40.6	9.0	6.9	17.475	0.167	4.214
C76X127.0	76.2	38.1	6.6	6.9	17.475	0.167	4.464
C76X104.1	76.2	35.8	4.3	6.9	17.475	0.167	4.695
C76X88.9	76.2	34.8	3.4	6.9	17.475	0.167	4.795
